순위,섹터,종목코드,종목명,시가총액(단위:백만원),자산총액(단위:백만원),시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장주식수,PBR,PBR 산출시점,최근 5개 사업연도 평균 PBR,`23 사업연도말 PBR,`22 사업연도말 PBR,`21 사업연도말 PBR,`20 사업연도말 PBR,`19 사업연도말 PBR,PER,PER 산출시점,최근 5개 사업연도 평균 PER,`23 사업연도말 PER,`22 사업연도말 PER,`21 사업연도말 PER,`20 사업연도말 PER,`19 사업연도말 PER,ROE,ROE 산출시점,최근 5개 사업연도 평균 ROE,`23 사업연도말 ROE,`22 사업연도말 ROE,`21 사업연도말 ROE,`20 사업연도말 ROE,`19 사업연도말 ROE,배당성향,배당성향 산출시점,최근 5개 사업연도 평균 배당성향,`23 사업연도말 배당성향,`22 사업연도말 배당성향,`21 사업연도말 배당성향,`20 사업연도말 배당성향,`19 사업연도말 배당성향,배당수익률,배당수익률 산출시점,최근 5개 사업연도 평균 배당수익률,`23 사업연도말 배당수익률,`22 사업연도말 배당수익률,`21 사업연도말 배당수익률,`20 사업연도말 배당수익률,`19 사업연도말 배당수익률,비고
15,정보기술,042700,한미반도체,10106737,720848,KOSPI,-,108300,-4700,-4.16,111000,113000,108300,732766,80422938900,96993634,0.73,2024-06,0.53,0.5,0.47,0.59,0.56,0.51,8.03,45444,-,7.58,2.64,8.38,-,-,9.53,45444,-,6.78,19.28,7.56,-,-,7.43,45261,-,7.43,0,0,-,-,0.98,45261,0.2,0.98,0,0,0,0,-
131,정보기술,058470,리노공업,2809169,603325,KOSDAQ GLOBAL,우량기업부,189000,-10000,-5.03,198300,199900,188800,109442,21086533300,15242370,0.5,2024-06,1.42,0.67,0.81,1.56,1.98,2.1,4.61,45444,12.32,12.57,4.46,6.3,9.56,28.72,11.57,45444,16.82,5.44,19.85,28.15,23.1,7.58,0,45261,0,0,0,0,0,0,0,45261,0,0,0,0,0,0,-
345,정보기술,064760,티씨케이,1023898,514665,KOSDAQ GLOBAL,우량기업부,92400,-1100,-1.18,94400,94500,90700,28035,2572679100,11675000,0.29,2024-06,0.31,0.25,0.23,0.33,0.34,0.38,3.59,45444,2.65,2.25,2.55,1.88,2.09,4.51,5.56,45444,8.84,7.89,6.25,12.68,11.58,5.8,23.56,45261,26.28,23.56,31.91,18.61,17.89,39.42,6.91,45261,6.62,6.91,8.26,6.54,5.63,5.76,-
576,정보기술,074600,원익QnC,607253,1453274,KOSDAQ GLOBAL,우량기업부,25550,-300,-1.16,25750,25900,25500,94577,2427748800,26288000,0.32,2024-06,0.54,0.35,0.36,0.57,0.58,0.82,-,45444,-,167.5,21.55,12.31,39.79,-,-,45444,-,0.21,1.76,4.88,1.54,-,0,45261,-,0,0,0,0,-,0,45261,0,0,0,0,0,0,-
1131,정보기술,090460,비에이치,586239,1337126,KOSPI,-,18270,-110,-0.6,18420,18480,17900,449451,8122029900,34464379,2.87,2024-06,1.04,1.61,0.91,1.21,0.83,0.63,284.63,45444,17.78,44.5,8.38,15.19,14.25,6.59,1,45444,-,3.65,11.39,8.2,5.89,-,34.27,45261,20.5,34.27,11.67,14.72,21.76,20.1,0.77,45261,1.54,0.77,1.39,0.97,1.51,3.05,-
1024,정보기술,108320,LX세미콘,1040915,1394813,KOSPI,-,64300,-1500,-2.28,65300,66100,64300,32957,2138233900,16264300,1.41,2024-06,2.21,1.88,1.76,2.6,3.06,1.73,-,45444,-,-,-,-,-,35.74,-,45444,-,-,-,-,-,4.99,-,45261,-,-,-,-,-,0,0,45261,0,0,0,0,0,0,-
785,정보기술,131970,두산테스나,483837,844440,KOSDAQ GLOBAL,우량기업부,31150,900,2.98,30500,31350,30050,83817,2579948750,17006566,0.65,2024-06,0.63,0.49,0.63,0.67,0.74,0.6,4.14,45444,-,3.45,-,-,-,101,17.15,45444,-,15.39,-,-,-,0.59,0,45261,-,0,-,-,-,0,0,45261,0,0,0,0,0,0,-
91,정보기술,140860,파크시스템스,1473541,230878,KOSDAQ,우량기업부,193000,-4100,-2.08,198200,201000,193000,32801,6442709400,6983609,0.37,2024-06,0.6,0.51,0.35,0.9,0.81,0.45,4.24,45444,4.02,4.91,0.87,5.68,7.09,1.56,8.91,45444,24.73,11.06,50.55,17.39,11.94,32.69,8.58,45261,7.32,8.58,2.12,9.27,11.99,4.66,1.75,45261,2.08,1.75,2.43,1.63,1.68,2.92,-
324,정보기술,166090,하나머티리얼즈,581464,639661,KOSDAQ GLOBAL,우량기업부,32100,-700,-2.13,33100,33200,31700,80805,2595299950,19777674,0.69,2024-06,1.09,1.25,0.97,1.36,0.93,0.92,1.85,45444,-,-,-,525.13,-,54.87,45,45444,-,-,-,0.26,-,1.67,-,45261,-,-,-,496.26,-,115.72,2.83,45261,1.68,2.83,1.28,0.95,1.25,2.11,-
309,정보기술,183300,코미코,549186,647075,KOSDAQ GLOBAL,우량기업부,57500,-1000,-1.71,58800,59500,57000,77701,4476011000,10460684,0.38,2024-06,0.34,0.46,0.31,0.39,0.23,0.29,8.71,45444,-,6.95,6.34,3.8,-,31.55,4.34,45444,-,6.68,4.91,10.81,-,0.93,30.05,45261,-,30.05,42.36,26.18,-,62.06,4.83,45261,4.72,4.83,7.36,7.54,1.89,1.97,-
